Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data Driven Negative,Chrome 109.0.0.0,,,2023-01-23 17:42:46,2023-01-23 17:43:17,31.136s,PASSED
,,,,,,,
Test Cases/Data Driven Testing/Form Authentication Negative,Chrome 109.0.0.0,melakukan login dengan menggunakan username dan password yang salah,Data Driven,2023-01-23 17:42:47,2023-01-23 17:42:57,10.600s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-23 17:42:47,2023-01-23 17:42:50,2.549s,PASSED
"navigateToUrl(""http://the-internet.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-01-23 17:42:50,2023-01-23 17:42:53,2.918s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/a_Form Authentication""))",Chrome 109.0.0.0,,,2023-01-23 17:42:53,2023-01-23 17:42:54,1.115s,PASSED
"setText(findTestObject(""Object Repository/Page_The Internet/input_Username_username""), userneme)",Chrome 109.0.0.0,,,2023-01-23 17:42:54,2023-01-23 17:42:55,0.723s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_The Internet/input_Password_password""), password)",Chrome 109.0.0.0,,,2023-01-23 17:42:55,2023-01-23 17:42:55,0.479s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/i_Login""))",Chrome 109.0.0.0,,,2023-01-23 17:42:55,2023-01-23 17:42:56,1.248s,PASSED
"verifyTextPresent(""Your username is invalid!"", false)",Chrome 109.0.0.0,,,2023-01-23 17:42:56,2023-01-23 17:42:57,0.323s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-01-23 17:42:57,2023-01-23 17:42:57,0.662s,PASSED
,,,,,,,
Test Cases/Data Driven Testing/Form Authentication Negative,Chrome 109.0.0.0,melakukan login dengan menggunakan username dan password yang salah,Data Driven,2023-01-23 17:42:57,2023-01-23 17:43:06,8.487s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-23 17:42:57,2023-01-23 17:42:59,1.174s,PASSED
"navigateToUrl(""http://the-internet.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-01-23 17:42:59,2023-01-23 17:43:01,2.876s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/a_Form Authentication""))",Chrome 109.0.0.0,,,2023-01-23 17:43:01,2023-01-23 17:43:03,1.150s,PASSED
"setText(findTestObject(""Object Repository/Page_The Internet/input_Username_username""), userneme)",Chrome 109.0.0.0,,,2023-01-23 17:43:03,2023-01-23 17:43:03,0.695s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_The Internet/input_Password_password""), password)",Chrome 109.0.0.0,,,2023-01-23 17:43:03,2023-01-23 17:43:04,0.426s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/i_Login""))",Chrome 109.0.0.0,,,2023-01-23 17:43:04,2023-01-23 17:43:05,1.207s,PASSED
"verifyTextPresent(""Your username is invalid!"", false)",Chrome 109.0.0.0,,,2023-01-23 17:43:05,2023-01-23 17:43:05,0.294s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-01-23 17:43:05,2023-01-23 17:43:06,0.631s,PASSED
,,,,,,,
Test Cases/Data Driven Testing/Form Authentication Negative,Chrome 109.0.0.0,melakukan login dengan menggunakan username dan password yang salah,Data Driven,2023-01-23 17:43:06,2023-01-23 17:43:17,11.482s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-23 17:43:06,2023-01-23 17:43:07,1.135s,PASSED
"navigateToUrl(""http://the-internet.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-01-23 17:43:07,2023-01-23 17:43:13,5.850s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/a_Form Authentication""))",Chrome 109.0.0.0,,,2023-01-23 17:43:13,2023-01-23 17:43:14,1.392s,PASSED
"setText(findTestObject(""Object Repository/Page_The Internet/input_Username_username""), userneme)",Chrome 109.0.0.0,,,2023-01-23 17:43:14,2023-01-23 17:43:15,0.692s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_The Internet/input_Password_password""), password)",Chrome 109.0.0.0,,,2023-01-23 17:43:15,2023-01-23 17:43:15,0.460s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/i_Login""))",Chrome 109.0.0.0,,,2023-01-23 17:43:15,2023-01-23 17:43:16,1.004s,PASSED
"verifyTextPresent(""Your username is invalid!"", false)",Chrome 109.0.0.0,,,2023-01-23 17:43:16,2023-01-23 17:43:17,0.291s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-01-23 17:43:17,2023-01-23 17:43:17,0.632s,PASSED
